Subject,Category,ID,Question,Option1,Option2,Option3,Option4,Answer,KnowledgeTag,Explanation,KeywordTag
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,1,歐美流行之比薩─義大利發麵餅屬於？,麵包項,餅乾項,中點項,西點項,4,產品分類,比薩就像是西方人的美味餅皮，在烘焙分類中被歸類為西點的一種。,比薩
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,2,下列何種產品不需經過油炸而成？,開口笑,沙其瑪,道納司,鬆餅,4,烹調方式,鬆餅是用烤盤加熱烤出來的，不像開口笑或甜甜圈要跳進油鍋裡洗澡。,鬆餅
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,3,最適合製作鮮奶油蛋糕及冰淇淋蛋糕是？,麵糊類蛋糕,乳沫類蛋糕,戚風類蛋糕,磅蛋糕,3,蛋糕種類,戚風蛋糕吃起來像雲朵一樣軟軟的，和奶油、冰淇淋搭在一起最合適了。,戚風蛋糕
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,4,哪一種蛋糕之烤溫最低？,輕奶油,海綿蛋糕,水果蛋糕,天使蛋糕,3,烘焙原理,水果蛋糕裡面有很多重重的水果，要用小火慢慢烤，心急可是烤不熟的喔。,水果蛋糕
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,5,同種蛋糕哪一種麵糊的著色最深？,低酸性,中性,鹼性,強酸性,3,烘焙化學,麵糊如果偏向鹼性，烤出來的顏色會變得很深，就像皮膚曬黑了一樣。,鹼性麵糊
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,6,哪一種蛋糕麵糊理想比重最輕？,海綿類,戚風類,麵糊類,天使類,4,烘焙原理,天使蛋糕只用蛋白打發，裡面空氣超級多，所以拿起來最輕盈。,天使蛋糕
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,7,下列何種為硬式麵包？,全麥麵包,甜麵包,可鬆麵包,法國麵包,4,麵包分類,法國麵包敲起來硬梆梆的，吃起來很有嚼勁，是典型的硬式麵包。,法國麵包
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,8,何種蛋糕在攪拌前，蛋先予加溫到40～43℃，使容易起泡及膨脹？,輕奶油蛋糕,重奶油蛋糕,海綿蛋糕,水果蛋糕,3,攪拌技巧,海綿蛋糕的蛋寶寶喜歡洗溫水澡，溫暖一點會讓泡泡變多，蛋糕更鬆軟。,海綿蛋糕
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,9,下列蛋糕配方中何者宜使用高筋麵粉？,魔鬼蛋糕,水果蛋糕,果醬捲,戚風蛋糕,2,原料選用,水果蛋糕裡面的料很重，需要用有力氣的高筋麵粉才抱得住水果。,水果蛋糕
[丙級學科題庫] 烘焙食品,工作項目 01：產品分類,10,下列何種產品一定要使用高筋麵粉？,海綿蛋糕,比薩餅,白土司麵包,天使蛋糕,3,原料選用,吐司要長得高高的、有彈性，一定要用最有力量的高筋麵粉喔。,白土司
